name,dirname,date,bgcolor,notes
Prolog quiz,,2026-03-09 23:59,,day 1
PrologPathFinder,PrologPathFinder,2026-03-10 23:59,,day 2
PrologWordFind,PrologWordFind,2026-03-14 23:59,,day 4+1
PrologNLP (Part 1),PrologNLP,2026-03-17 23:59,,day6
PrologNLP (Part 2),PrologNLP,2026-03-21 23:59,,day8+1
Rust1,Rust1,2026-03-24 23:59,,day10
Rust2,Rust2,2026-03-28 23:59,,day12+1
RustWebserver (Part 1),RustWebserver,2026-03-31 23:59,,day14
RustWebserver (Part 2),RustWebserver,2026-04-03 23:59,,day16+1
HaskellHighOrder,HaskellHighOrder,2026-04-07 23:59,,dai18
HaskellADTAndTypeclasses,HaskellADTAndTypeclasses,2026-04-07 23:59,,dai18
HaskellPong,HaskellPong,2026-04-11 23:59,,day20+1
HaskellVideoGame (Part 1),HaskellVideoGame,2026-04-21 23:59,,day22
HaskellVideoGame (Part 2),HaskellVideoGame,2026-04-24 23:59,,day24
Final Project Proposal,FinalProject,2026-04-28 23:59,,day26
Final Project Demo (Seniors),FinalProject,2026-05-22 23:59,,day40
Final Project Assignment Grades,FinalProject,2026-05-22 23:59,,day 40
Final Project Demo (Non-Seniors),FinalProject,2026-05-25 23:59,,day 40+3
HaskellPipeMonad,HaskellPipeMonad,2026-05-02 23:59,,day28+1
Lua Inheritance,LuaInheritance,2026-05-09 23:59,,day32+1
